uva_id,nome,tipo,ano_colheita,pais_origem_id
0,Sauvignon Blanc,branco,1974,0
1,Muscat Hamburg,tinto,1939,2
2,Viognier,rosé,1965,0
3,Riesling,branco,1953,1
4,Sultana,branco,1920,1
5,Saint Macaire,branco,1913,3
6,Riesling,branco,1964,1
7,Sauvignon Blanc,branco,1920,2
8,Sauvignon Blanc,branco,2012,0
9,Muscat Hamburg,rosé,1922,3
10,Viognier,rosé,1915,0
11,Flame Seedless,branco,1993,0
12,Muscat Hamburg,rosé,1913,2
13,Muscat Hamburg,tinto,2001,1
14,Saint Macaire,branco,1973,1
15,Ruby Seedless,tinto,1987,0
16,Viognier,tinto,1980,3
17,Cabernet Sauvignon,branco,2003,1
18,Muscat Hamburg,rosé,1984,3
19,Chardonnay,tinto,1945,1
20,Ruby Seedless,branco,1957,3
21,Cabernet Sauvignon,tinto,1930,2
22,Chardonnay,tinto,1988,3
23,Viognier,tinto,1950,2
24,Merlot,tinto,1974,2
25,Chardonnay,rosé,1971,3
26,Sultana,tinto,1954,2
27,Ruby Seedless,tinto,1959,0
28,Chardonnay,tinto,2010,2
29,Purple Cornichon,rosé,1988,1
30,Merlot,tinto,1988,3
31,Sauvignon Blanc,tinto,1972,0
32,Sauvignon Blanc,rosé,1932,3
33,Sultana,rosé,1986,1
34,Chardonnay,rosé,1954,1
35,Chardonnay,tinto,1941,1
36,Saint Macaire,rosé,1924,2
37,Chardonnay,rosé,1927,2
38,Riesling,tinto,1913,3
39,Flame Seedless,rosé,1954,3
40,Purple Cornichon,tinto,1919,0
41,Saint Macaire,branco,2015,0
42,Viognier,rosé,1989,3
43,Saint Macaire,branco,1954,2
44,Riesling,tinto,1939,1
45,Viognier,rosé,1911,3
46,Purple Cornichon,tinto,2013,0
47,Riesling,branco,1913,2
48,Cabernet Sauvignon,tinto,1946,3
49,Flame Seedless,rosé,1944,3
50,Purple Cornichon,rosé,1989,2
51,Chardonnay,branco,2007,3
52,Cabernet Sauvignon,tinto,1954,2
53,Sultana,rosé,1979,1
54,Purple Cornichon,branco,1919,2
55,Sultana,rosé,1965,2
56,Viognier,rosé,1910,2
57,Cabernet Sauvignon,tinto,1972,3
58,Flame Seedless,rosé,1992,3
59,Chardonnay,tinto,1937,2
60,Chardonnay,rosé,1957,3
61,Riesling,branco,1984,0
62,Chardonnay,rosé,1920,0
63,Muscat Hamburg,tinto,1928,3
64,Saint Macaire,tinto,1911,3
65,Merlot,branco,1964,2
66,Flame Seedless,rosé,1954,1
67,Cabernet Sauvignon,rosé,1958,3
68,Muscat Hamburg,branco,1964,0
69,Flame Seedless,rosé,2004,2
70,Cabernet Sauvignon,rosé,1977,3
71,Ruby Seedless,tinto,2014,0
72,Ruby Seedless,rosé,2013,0
73,Sultana,rosé,1915,1
74,Flame Seedless,branco,1960,2
